id_playlist,duration_playlist,id_music,rating_playlist,average_rating_musics,num_ratings
solo_artists,19598,72,4.0,3.8,1.0
solo_artists,19598,73,4.0,3.8,1.0
solo_artists,19598,74,4.0,3.8,1.0
solo_artists,19598,76,4.0,3.8,1.0
solo_artists,19598,77,4.0,3.8,1.0
solo_artists,19598,79,4.0,3.8,1.0
solo_artists,19598,81,4.0,3.8,1.0
solo_artists,19598,82,4.0,3.8,1.0
solo_artists,19598,83,4.0,3.8,1.0
solo_artists,19598,84,4.0,3.8,1.0
solo_artists,19598,85,4.0,3.8,1.0
solo_artists,19598,86,4.0,3.8,1.0
solo_artists,19598,87,4.0,3.8,1.0
solo_artists,19598,88,4.0,3.8,1.0
solo_artists,19598,89,4.0,3.8,1.0
solo_artists,19598,90,4.0,3.8,1.0
solo_artists,19598,91,4.0,3.8,1.0
solo_artists,19598,92,4.0,3.8,1.0
solo_artists,19598,93,4.0,3.8,1.0
solo_artists,19598,94,4.0,3.8,1.0
solo_artists,19598,95,4.0,3.8,1.0
solo_artists,19598,96,4.0,3.8,1.0
solo_artists,19598,97,4.0,3.8,1.0
solo_artists,19598,98,4.0,3.8,1.0
solo_artists,19598,99,4.0,3.8,1.0
solo_artists,19598,107,4.0,3.8,1.0
solo_artists,19598,113,4.0,3.8,1.0
solo_artists,19598,115,4.0,3.8,1.0
solo_artists,19598,116,4.0,3.8,1.0
solo_artists,19598,118,4.0,3.8,1.0
solo_artists,19598,119,4.0,3.8,1.0
